chan_idx,lat,lon,depth,chan_m,utm_x,utm_y,x,y
4292.0,45.19541,-124.05232,-53.315067,8763.854920387268,417343.51374558883,5005196.936656642,17882.567129926523,20085.426715665497
4293.0,45.195411,-124.05235,-53.413035,8765.89682507515,417341.15878748987,5005197.078458527,17884.922088025487,20085.568517550826
4294.0,45.195413,-124.05237,-53.478929,8767.938729763031,417339.5907459872,5005197.3211149955,17886.49012952816,20085.81117401924
4295.0,45.195414,-124.0524,-53.579546,8769.980634450912,417337.2357880792,5005197.46291834,17888.845087436144,20085.95297736395
4296.0,45.195416,-124.05243,-53.680641,8772.022539138794,417334.8822782271,5005197.715813606,17891.198597288283,20086.20587262977
4297.0,45.195417,-124.05245,-53.748361,8774.064443826675,417333.3127890859,5005197.847380586,17892.768086429453,20086.33743960969
4298.0,45.195419,-124.05248,-53.849606,8776.106348514557,417330.95927949366,5005198.100277311,17895.121596021694,20086.59033633489
4299.0,45.19542,-124.0525,-53.916937,8778.148253202438,417329.3897905021,5005198.231845266,17896.69108501327,20086.72190428991
4300.0,45.195422,-124.05253,-54.016812,8780.19015789032,417327.0362811736,5005198.48474345,17899.044594341773,20086.97480247356
4301.0,45.195423,-124.05256,-54.115674,8782.232062578201,417324.6813238582,5005198.626551465,17901.399551657145,20087.116610488854
4302.0,45.195425,-124.05258,-54.179736,8784.273967266083,417323.113283265,5005198.86921202,17902.96759225038,20087.35927104391
4303.0,45.195426,-124.05261,-54.274862,8786.315871953964,417320.75832614454,5005199.011021496,17905.322549370816,20087.50108051952
4304.0,45.195428,-124.05263,-54.335867,8788.357776641846,417319.1902857738,5005199.253683024,17906.890589741583,20087.74374204781
4305.0,45.195429,-124.05266,-54.425752,8790.399681329727,417316.83532884426,5005199.395493959,17909.245546671096,20087.8855529828
4306.0,45.195431,-124.05269,-54.511133,8792.441586017609,417314.4818203288,5005199.648396812,17911.599055186554,20088.138455836102
4307.0,45.195432,-124.05271,-54.56585,8794.48349070549,417312.91233195737,5005199.779968855,17913.168543557986,20088.270027878694
4308.0,45.195434,-124.05274,-54.643556,8796.525395393372,417310.5588237017,5005200.032873169,17915.522051813663,20088.52293219231
4309.0,45.195435,-124.05276,-54.692674,8798.567300081253,417308.98933548195,5005200.164446184,17917.091540033405,20088.654505208135
4310.0,45.195437,-124.05279,-54.761223,8800.609204769135,417306.6358274901,5005200.417351957,17919.445048025227,20088.907410981134
4311.0,45.195438,-124.05281,-54.803973,8802.651109457016,417305.0663394239,5005200.548925946,17921.014536091476,20089.03898496926
4312.0,45.19544,-124.05284,-54.86394,8804.693014144897,417302.71283169184,5005200.801833178,17923.368043823517,20089.29189220164
4313.0,45.195441,-124.05287,-54.920414,8806.734918832779,417300.35787554993,5005200.943650243,17925.722999965423,20089.433709266596
4314.0,45.195443,-124.05289,-54.954832,8808.77682352066,417298.78983630706,5005201.18631683,17927.2910392083,20089.67637585383
4315.0,45.195444,-124.05292,-55.004892,8810.818728208542,417296.434880356,5005201.328135355,17929.645995159342,20089.8181943791
4316.0,45.195446,-124.05294,-55.035284,8812.860632896423,417294.8668413336,5005201.570802917,17931.21403418173,20090.060861940496
4317.0,45.195447,-124.05297,-55.079738,8814.902537584305,417292.5118855776,5005201.712622901,17933.568989937776,20090.202681925148
4318.0,45.195449,-124.053,-55.120427,8816.944442272186,417290.1583786606,5005201.965534805,17935.922496854735,20090.455593829043
4319.0,45.19545,-124.05302,-55.146306,8818.986346960068,417288.5888912125,5005202.09711288,17937.491984302877,20090.58717190381
4320.0,45.195452,-124.05305,-55.182672,8821.02825164795,417286.23538455734,5005202.350026243,17939.845490958018,20090.84008526709
4321.0,45.195453,-124.05307,-55.205937,8823.07015633583,417284.6658972608,5005202.4816052895,17941.41497825453,20090.971664313227
4322.0,45.195455,-124.0531,-55.238784,8825.112061023712,417282.31239086547,5005202.734520112,17943.76848464989,20091.224579135887
4323.0,45.195456,-124.05313,-55.270701,8827.153965711594,417279.95743570203,5005202.876344767,17946.123439813324,20091.366403791122
4324.0,45.195458,-124.05315,-55.290095,8829.195870399475,417278.3893975891,5005203.119016415,17947.691477926273,20091.609075439163
4325.0,45.195459,-124.05318,-55.319767,8831.237775087357,417276.03444261855,5005203.26084253,17950.04643289681,20091.75090155378
4326.0,45.195461,-124.0532,-55.337931,8833.279679775238,417274.46640472603,5005203.50351515,17951.614470789325,20091.99357417412
4327.0,45.195462,-124.05323,-55.366148,8835.32158446312,417272.11144994845,5005203.645342724,17953.969425566902,20092.13540174812
4328.0,45.195464,-124.05326,-55.393075,8837.363489151001,417269.75794436614,5005203.898262218,17956.322931149218,20092.388321241364
4329.0,45.195465,-124.05328,-55.411156,8839.405393838882,417268.1884576898,5005204.029845353,17957.892417825584,20092.51990437694
4330.0,45.195466,-124.05331,-55.438676,8841.447298526764,417265.8335031878,5005204.171675262,17960.247372327547,20092.661734285764
4331.0,45.195468,-124.05333,-55.456099,8843.489203214645,417264.2654658465,5005204.414350413,17961.815409668838,20092.90440943651
4332.0,45.195469,-124.05336,-55.483886,8845.531107902527,417261.9105115375,5005204.55618178,17964.170363977842,20093.046240803786
4333.0,45.195471,-124.05338,-55.500624,8847.573012590408,417260.3424744166,5005204.798857905,17965.73840109876,20093.288916928694
4334.0,45.195472,-124.05341,-55.525993,8849.61491727829,417257.9875203006,5005204.9406907335,17968.093355214747,20093.430749757215
4335.0,45.195474,-124.05344,-55.549106,8851.656821966171,417255.6340156278,5005205.19361548,17970.44685988757,20093.68367450405
4336.0,45.195475,-124.05346,-55.563999,8853.698726654053,417254.06452947506,5005205.325202119,17972.0163460403,20093.81526114233
4337.0,45.195477,-124.05349,-55.584862,8855.740631341934,417251.7110250661,5005205.578128326,17974.369850449264,20094.068187349476
4338.0,45.195478,-124.05351,-55.598338,8857.782536029816,417250.14153906493,5005205.709715936,17975.93933645042,20094.199774960056
4339.0,45.19548,-124.05354,-55.617211,8859.824440717697,417247.7880349178,5005205.962643603,17978.29284059757,20094.452702626586
4340.0,45.195481,-124.05357,-55.63576,8861.866345405579,417245.4330813943,5005206.1044811,17980.64779412106,20094.594540123828
4341.0,45.195483,-124.05359,-55.646585,8863.90825009346,417243.86504518293,5005206.3471613135,17982.215830332425,20094.837220337242
4342.0,45.195484,-124.05362,-55.663543,8865.950154781342,417241.5100918504,5005206.48900027,17984.570783664938,20094.979059293866
4343.0,45.195486,-124.05364,-55.673412,8867.992059469223,417239.9420558594,5005206.731681456,17986.138819655927,20095.22174047958
4344.0,45.195487,-124.05367,-55.689037,8870.033964157104,417237.5871027219,5005206.873521872,17988.493772793445,20095.363580895588
4345.0,45.195489,-124.0537,-55.70327,8872.075868844986,417235.23359938577,5005207.126454211,17990.847276129585,20095.616513234563
4346.0,45.19549,-124.05372,-55.712667,8874.117773532867,417233.6641140068,5005207.258045907,17992.41676150856,20095.748104930855
4347.0,45.195492,-124.05375,-55.72599,8876.159678220749,417231.31061093445,5005207.5109797055,17994.770264580904,20096.001038729213
4348.0,45.195493,-124.05377,-55.734859,8878.20158290863,417229.74112570507,5005207.642572374,17996.339749810286,20096.132631397806
4349.0,45.195495,-124.0538,-55.747527,8880.243487596512,417227.38762289257,5005207.895507633,17998.69325262279,20096.385566656478
4350.0,45.195496,-124.05383,-55.760584,8882.285392284393,417225.0326703476,5005208.037352719,18001.048205167754,20096.527411743067
4351.0,45.195498,-124.05385,-55.768305,8884.327296972275,417223.4646352661,5005208.280037991,18002.61624024925,20096.770097014494
4352.0,45.195499,-124.05388,-55.781092,8886.369201660156,417221.10968291207,5005208.42188454,18004.97119260329,20096.91194356326
4353.0,45.195501,-124.0539,-55.78873,8888.411106348038,417219.54164805304,5005208.664570784,18006.539227462315,20097.15462980792
4354.0,45.195502,-124.05393,-55.800968,8890.45301103592,417217.18669589394,5005208.80641879,18008.89417962142,20097.296477813274
4355.0,45.195504,-124.05395,-55.807933,8892.4949157238,417215.6186612514,5005209.049106008,18010.46221426397,20097.539165032096
4356.0,45.195505,-124.05398,-55.81905,8894.536820411682,417213.2637092852,5005209.190955474,18012.817166230176,20097.681014497764
4357.0,45.195507,-124.05401,-55.828954,8896.578725099564,417210.9102075496,5005209.443896862,18015.17066796578,20097.93395588547
4358.0,45.195508,-124.05403,-55.835422,8898.620629787445,417209.3407230919,5005209.57549459,18016.740152423445,20098.06555361394
4359.0,45.19551,-124.05406,-55.844379,8900.662534475327,417206.9872216161,5005209.828437437,18019.09365389927,20098.318496461026
4360.0,45.195511,-124.05408,-55.850237,8902.704439163208,417205.417737312,5005209.960036141,18020.66313820338,20098.45009516459
4361.0,45.195513,-124.05411,-55.858338,8904.74634385109,417203.06423609995,5005210.212980446,18023.016639415408,20098.70303947013
4362.0,45.195514,-124.05414,-55.86647,8906.788248538971,417200.7092847245,5005210.3548345845,18025.371590790863,20098.844893608242
4363.0,45.195516,-124.05416,-55.870978,8908.830153226852,417199.14125099336,5005210.59752589,18026.939624521998,20099.08758491371
